type_propusk,method_zapolnenia,name_dataset,RMSE,MAE,R2,KL_divergence_median,KL_divergence_max,KS_statistic_median,KS_statistic_max,Wasserstein_2_median,Wasserstein_2_max,kl_w_vs_w_hat,ks_w_vs_w_hat,wasserstein_2_w_vs_w_hat,mean_ratio,model_R2,model_F1
MNAR_15,MEAN_MODE,puma32H_regression_thetadd6.csv,7.939154503799402,1.2468659223837026,0.7795895992001154,0.180877341951476,5.420056567013587,0.078857421875,0.109619140625,0.2540836084865982,8.276158656817653,0.54993567527249,1.0,0.0922590855839944,4.190610252731108,0.159257511179549,
MNAR_15,MEDIAN_MODE,puma32H_regression_thetadd6.csv,7.938825158240572,1.247473405791311,0.7796078857017607,0.181714996628942,5.420056567013587,0.078857421875,0.11083984375,0.2541048647420887,8.272636566247789,0.54993567527249,1.0,0.0922428364274319,4.190316488874024,0.159298045936841,
MNAR_15,MICE,puma32H_regression_thetadd6.csv,9.933370345922114,1.3579559372151688,0.6549541313660296,0.2577846068117702,5.539797083890244,0.028076171875,0.0399169921875,0.0702152249291965,2.475608701577241,4.710110424185135,0.628,0.0181051731635018,1.6621257304475798,0.2246399257557319,
MNAR_15,NUL_MODE,puma32H_regression_thetadd6.csv,7.9502685194218685,1.3209019697672528,0.7789720625935684,0.1945238081511894,5.420056567013587,0.078857421875,0.1500244140625,0.276794857757976,8.2745603761207,0.54993567527249,1.0,0.0924806397698302,4.198903684765913,0.1588840150525024,
MNAR_15,missForest,puma32H_regression_thetadd6.csv,7.939154503878554,1.2468660303437262,0.7795895991957205,0.1808773420433407,5.42005656701758,0.078857421875,0.109619140625,0.2540836084922755,8.276158658171653,0.54993567527249,1.0,0.0922590860945524,4.190610269972938,0.159257511105466,
MNAR_30,MEAN_MODE,puma32H_regression_thetadd6.csv,11.108970369435104,2.46372227774477,0.5684499279761819,0.3395016183089193,10.22786834359717,0.154296875,0.222900390625,0.4995064111111641,16.31497714959522,0.54993567527249,1.0,0.2248751310450843,8.658293198611453,0.1192188483025404,
MNAR_30,MEDIAN_MODE,puma32H_regression_thetadd6.csv,11.109016829071754,2.467226414336234,0.5684463183344596,0.339704803188713,10.22786834359717,0.154296875,0.23193359375,0.499624531345043,16.316109300321333,0.54993567527249,1.0,0.2248667954521223,8.658193940182933,0.119224100897537,
MNAR_30,MICE,puma32H_regression_thetadd6.csv,13.617822510226205,2.652251055408824,0.3515165221799835,0.501966110976525,9.707743217879596,0.05419921875,0.0865478515625,0.1581224544906203,5.327657394900864,19.378074384835536,0.984,0.0648413035401408,3.2697373752775367,0.2509205893978535,
MNAR_30,NUL_MODE,puma32H_regression_thetadd6.csv,11.12353549782761,2.6059246916207983,0.5673175633095056,0.348101610689826,10.22786834359717,0.154296875,0.300048828125,0.53015393670128,16.316696374568174,0.54993567527249,1.0,0.2251873452592086,8.669275585006234,0.1183561300259574,
MNAR_30,missForest,puma32H_regression_thetadd6.csv,11.108970369370985,2.463722357534164,0.5684499279811634,0.3395016184596319,10.227868343599868,0.154296875,0.222900390625,0.4995064111083299,16.314977154728613,0.54993567527249,1.0,0.2248751313614474,8.658293209332761,0.1192188484185238,
MNAR_50,MEAN_MODE,puma32H_regression_thetadd6.csv,13.96454119486743,3.9836192262253216,0.3180745174577056,0.4906782911024572,14.50675133582914,0.2559814453125,0.3814697265625,0.8153970499983451,26.51232964934115,0.54993567527249,1.0,0.4231879529120746,15.324843621703463,0.0630526951112912,
MNAR_50,MEDIAN_MODE,puma32H_regression_thetadd6.csv,13.964670928226951,3.996225634473397,0.3180618469526737,0.4964309269089646,14.50675133582914,0.2559814453125,0.4029541015625,0.8154624462209414,26.5109706536892,0.54993567527249,1.0,0.4232034561842202,15.325486657247948,0.0630770407419108,
MNAR_50,MICE,puma32H_regression_thetadd6.csv,16.560435352846557,4.224778722630356,0.0409812992501954,0.7059572268085956,14.057482332836848,0.111083984375,0.1680908203125,0.3175728687987929,10.83236124701167,0.54993567527249,1.0,0.1634751798882257,6.587917304873879,0.2833812534528778,
MNAR_50,NUL_MODE,puma32H_regression_thetadd6.csv,13.982667605943297,4.203359092333244,0.3163030472977493,0.4911879530870888,14.50675133582914,0.2559814453125,0.5,0.8602522213849634,26.508872611875248,0.54993567527249,1.0,0.4236856664832776,15.34170808565192,0.0615714486142151,
MNAR_50,missForest,puma32H_regression_thetadd6.csv,13.96454119481428,3.983619273045915,0.3180745174628967,0.4906782909190529,14.506751335830204,0.2559814453125,0.3814697265625,0.8153970500053481,26.51232965124446,0.54993567527249,1.0,0.4231879528036646,15.324843618172237,0.0630526954520429,
MAR_5,KNN15,puma8NH_binclass_binaryClass.csv,0.2077047802836965,0.0350940844807858,0.9502249567553768,0.024793978190435,0.0307453937411749,0.017333984375,0.019287109375,0.0391489795949494,0.0423378204607328,0.4264408365359691,0.312,0.0066594912882299,1.2229565218357858,,0.8111242162667249
MAR_5,MEAN_MODE,puma8NH_binclass_binaryClass.csv,0.1998802377799897,0.0341271248226827,0.9539045162401946,0.0234030383812459,0.0305262750113846,0.0260009765625,0.0277099609375,0.0525138666187602,0.0554498835116676,0.4971114368052978,0.35,0.0077233703187441,1.257059924323367,,0.8133296425671309
MAR_5,MEDIAN_MODE,puma8NH_binclass_binaryClass.csv,0.1999263812029119,0.0341289622802734,0.9538832310051896,0.0232848879244642,0.0308755074557859,0.02587890625,0.0277099609375,0.0524677883963162,0.0553919268415288,0.5029599718364632,0.352,0.0077361735410721,1.2575253272114193,,0.8128419867758636
MAR_5,MICE,puma8NH_binclass_binaryClass.csv,0.2217534342079713,0.0362812376708984,0.9432639141697476,0.0237151498935054,0.0360491104895372,0.0093994140625,0.01171875,0.0164238957540155,0.0268993216328814,0.2824841568632744,0.162,0.0029368090001842,1.101827716130847,,0.8300445111795112
MAR_5,NUL_MODE,puma8NH_binclass_binaryClass.csv,0.1998146502649574,0.0341232263590494,0.953934762273976,0.0234660690981179,0.0302423380226971,0.0260009765625,0.0269775390625,0.0525407681599456,0.0555235875085937,0.4610746225148696,0.348,0.0077014508268357,1.256198116045239,,0.8133286749398165
MAR_5,missForest,puma8NH_binclass_binaryClass.csv,0.1998802377842828,0.0341271248239312,0.9539045162382144,0.0234030384018884,0.0305262750087574,0.0260009765625,0.0277099609375,0.0525138666267453,0.0554498835120302,0.4971114368052978,0.35,0.0077233703203515,1.257059924375724,,0.8133296425671309
MAR_15,KNN15,puma8NH_binclass_binaryClass.csv,0.3610077864989527,0.1059848758532499,0.8496332542684915,0.0834801784779914,0.0888363801655199,0.0511474609375,0.0543212890625,0.1195431700739022,0.1228793017918427,13.06492321916208,0.902,0.0429667491188746,2.373818986071351,,0.7865886716682928
MAR_15,MEAN_MODE,puma8NH_binclass_binaryClass.csv,0.3468725722200511,0.1028970011448491,0.8611779082595714,0.0795433263836535,0.082877083394255,0.0771484375,0.0794677734375,0.1613573220217468,0.1637686465091344,14.382488723432898,0.926,0.0482590791411863,2.5400697004030706,,0.7862132109583355
